reach_time,algo_time,percentage
69.8293,2502.2337,0.0279
69.8947,2576.4653,0.0271
69.8948,2576.9786,0.0271
69.9594,2588.7948,0.0270
69.9594,2602.6781,0.0269
69.9594,2614.5456,0.0268
70.0244,2627.0450,0.0267
70.1489,2639.4848,0.0266
70.2691,2651.2364,0.0265
70.2692,2665.3321,0.0264
70.2692,2677.5869,0.0262
70.3377,2677.9153,0.0263
70.4028,2689.8984,0.0262
70.4029,2702.3008,0.0261
70.4678,2728.4797,0.0258
70.5891,2752.1360,0.0256
70.5891,2752.4035,0.0256
70.7118,2803.4932,0.0252
70.8317,2815.7566,0.0252
70.8318,2827.5281,0.0251
70.8318,2827.7955,0.0250
70.9506,2854.2501,0.0249
70.9507,2854.5189,0.0249
70.9507,2854.7929,0.0249
71.0882,2866.5545,0.0248
71.0882,2866.8253,0.0248
71.2121,2890.9276,0.0246
71.2122,2903.2238,0.0245
71.3315,2917.7756,0.0244
71.3315,2941.9259,0.0242
71.4535,2942.3257,0.0243
71.5738,2955.0165,0.0242
71.5738,2967.5201,0.0241
71.5738,2981.7128,0.0240
71.6988,2982.1135,0.0240
71.8203,2994.9980,0.0240
71.9419,3030.9175,0.0237
71.9419,3031.2133,0.0237
72.0636,3045.2469,0.0237
72.1932,3069.1654,0.0235
73.2927,3123.4837,0.0235
73.2927,3135.9700,0.0234
73.2927,3148.1371,0.0233
73.2927,3160.6058,0.0232
73.2927,3175.4875,0.0231
73.2928,3187.9781,0.0230
73.2928,3200.9668,0.0229
73.2928,3201.2061,0.0229
73.2928,3213.6605,0.0228
73.2928,3213.9056,0.0228
73.2929,3214.3548,0.0228
73.2929,3226.9442,0.0227
73.2929,3268.3065,0.0224
73.2929,3268.5509,0.0224
73.2929,3281.2949,0.0223
73.2930,3294.2957,0.0222
73.2930,3308.8110,0.0222
73.2930,3309.0619,0.0221
73.2930,3309.3049,0.0221
73.2930,3322.2514,0.0221
73.2930,3322.9915,0.0221
73.2931,3335.6235,0.0220
73.2931,3349.3333,0.0219
73.2931,3362.5888,0.0218
73.2931,3377.6281,0.0217
73.2931,3390.6616,0.0216
73.2932,3403.9565,0.0215
